Texto,Texto,Texto,,,,,
,,Get a daily roundup of the top reads in personal finance delivered to your inbox. Subscribe to MarketWatch's free Personal Finance Daily newsletter. Sign up here.,,,,,
,,At 20 times the length of California’s Golden Gate Bridge the six-lane crossing will link a regional economic zone of 70 million people with a combined annual GDP of $1.51 trillion — almost twice that of the San Francisco Bay Area and larger than the national economies of Australia Spain or Mexico. The nine-year construction project joins a recently launched high-speed train to cut travel times and boost business ties between mainland Chinese manufacturing cities and the financial hub of Hong Kong as well as the gambling enclave of Macau.,,,,,
,Read: Italy is ‘the No. 1 risk factor in the fourth quarter’ for European investments,,,,,,
,3M Co.MMM -4.38% stock dropped 4.4% after the company’s third-quarter profit and revenue missed and it issued downbeat 2018 guidance. Together 3M Co. and Caterpillar combined to account for nearly half the Dow’s loss at Tuesday’s open,,,,,,
,,If a postal error occurred (e.g. the distribution or deposit was lost in the mail) a taxpayer can be issued a waiver. For example if the distribution check was misaddressed you could receive a waiver.,,,,,
,,Shares in Whitbread fell 1.5% in London on Tuesday after the deal was announced and as the company reported its quarterly results.,,,,,
Heart patients should move around every 20 minutes during an eight-hour period of sitting according to a paper presented on Saturday at the Canadian Cardiovascular Congress in Toronto an event where visiting experts from the European Society of Cardiology participate in joint scientific sessions with the Canadian Cardiovascular Society.,,,,,,,
,JC O’Hara chief market technician at MKM Partners believes the bulk of the selling is now in the rearview mirror.,,,,,,
,,The RealClearPolitics average of polls however shows Cruz with a 7-point lead.,,,,,
,,If a financial institution commits an error either making the rollover distribution or receiving the rollover contribution a self-certification waiver is feasible. For example in one instance a taxpayer asked a brokerage house to calculate and distribute the money from his IRA to comply with the required minimum distribution (RMD) rules. They then overestimated the amount to be distributed and sent the taxpayer a check for an amount larger than the required RMD. The mistake was discovered several months later while paying taxes and the taxpayer was able to correct the error at that time.,,,,,
,,Also see:  Your financial adviser’s ‘sleep easy’ portfolio may be riskier than you think,,,,,
,The short seller had long held that by the time of the Model 3’s arrival “multiple” 200-mile range electric vehicles would have been on the market it said Tuesday.,,,,,,
,,Also read: Will my brother’s $300000 debt to our mother die with her,,,,,
,,In this case the uncashed check was strong evidence that the taxpayer was unaware that a rollover was needed. However an uncashed check by itself is not always granted a waiver. For example one taxpayer took money out of his IRA account to purchase an IRA annuity. After learning the fees associated with the product the taxpayer decided not to purchase the annuity and was sent a check from the company who had originally sold him his new IRA. The taxpayer then tried to rollover the amount into a new IRA a year later assuming the 60-day window would not apply because he never cashed the check.,,,,,
,,But he and other observers are aware it’s not a lack of economic justification that often holds back the adoption of new business models it’s entrenched interests. In the case of the housing market that’s Realtors.,,,,,
,,Would you like to sign up to an email alert when a new Moneyist column has been published, If so click on this link.,,,,
,,U.S. stocks on Tuesday finished in negative territory albeit off the worst levels of the session as worries about global economic growth and downbeat earnings outlooks from blue-chip companies sank equities following a rout in China's stock market. The Dow Jones Industrial Average closed down 125.98 points or 0.5% at 25191.43 but had been down by as many as 548 points at its low of the session. The S&P 500 index SPX -0.55% lost 0.6% at 2740.69 led by losses in energy stocks XLE -2.62%  and industrials. Meanwhile the Nasdaq Composite Index COMP -0.42%  ended the day down 0.4% at 7437.54 but enjoyed a brief stint in positive territory in a frightful and volatile day for U.S. stocks. Notably in corporate news shares of Caterpillar Inc. CAT -7.56% closed off 7.6% leading Dow decliners after the industrial giant reported profits and revenue ahead of analysts expectations but offered guidance that was below consensus. Another Dow component 3M Co.'s stock MMM -4.38% finished off 4.4% after issuing downbeat 2018 guidance. 3M and Caterpillar combined to account for nearly half the Dow's loss at Tuesday's open at one point during the session. On big bright spot shares of McDonald's Corp jumped 6.3% for its best day in about three years after its quarterly results on Tuesday. Markets headed lower out of the gate following the Shanghai Composite Index's SHCOMP -2.26% 2.3% loss giving back part of a two-day rally and reigniting fears of a slowdown in the second-largest economy which rippled through markets. Still some investors describe Tuesday's trade action as orderly and constructive despite the negative finish for stocks.,,,,,
• It is important to understand the most important concept: Marijuana stocks move based on what happens at the margin. At the margin there are two kinds of players: smart money and momo. The chart above separately shows momo money flows and smart money flows. We have been sharing with you for a while that the smart money has been selling marijuana stocks into the strength. We also gave a signal to sell trade-around positions in marijuana stocks at the top.,,,,,,,
,,Xi’s plan to build out China’s Silicon Valley will need more than infrastructure to succeed. Hong Kong and Macau are both former Western colonies promised a high-degree of autonomy until the middle of this century: They have their own legal and political systems and residents are afforded greater freedoms than their mainland counterparts. In Hong Kong especially concerns are rising that those rights are being eroded and that Beijing’s ultimate aim is to swallow up the city into the mainland.,,,,,
,Until recently buying by the momo crowd was much stronger than selling by the smart money. In a prior Morning Capsule we said: “A big difference from the past is that the momo crowd is not aggressively buying marijuana stocks.”,,,,,,
Read MarketWatch’s interview with Vicki Robin,,,,,,,
,,However after I reworked the question I was able to ask him if he thought this was a good time for me to take on more risk generally. His answer, He thought not. But it was apparently more about me than about Wall Street.,,,,
And finally Parets took a look at what Dow Theory is telling us.,,,,,,,
,,Like I said lots of angles and I skipped several more that might impact the decision.,,,,,
In March it predicted the stock would fall to $100 by year’s end. Citron’s Andrew Left is also among the several investors and short sellers who have filed class-action lawsuits against Tesla for alleged securities law violations stemming from Chief Executive Elon Musk’s going-private tweets in August.,,,,,,,
,“A close above 2825 will nullify the bear case” he said. “If this pattern indeed plays out for the bears 2600 is the downside objective. Often capitulation lows are retested. The longer the market trades under 2825 the more likely it is to retest 2710.”,,,,,,
,,The Moneyist Facebook Group (link below) had a lot to say. What struck me was how many people agreed with each other on the broader message even if they differed on the details: Invest the money they said don’t fritter it away on private education now especially if you can send your daughter to a good public school. Seek the help of a financial adviser. Don’t make risky investments. Save it for college. Allow her to make her own decisions when she turns 18.,,,,,
"“Rumors of the Tesla killers have been as constant and unfounded as Bob Lutz’s call for Tesla’s bankruptcy” Citron said taking a jab at the former General Motors Co. GM +2.49%

     executive and frequent Tesla critic.",,,,,,,
,,In a note to clients earlier this month Terry added: “While we clearly have been wrong on Snap’s ability to execute we continue to believe that a Twitter-like turnaround is possible.”,,,,,
,,When I interviewed women for “Nevertheless She Persisted” it was both eye-opening and a relief to hear them share their experiences of being dogged by this same descriptor.,,,,,
,,Osteoarthritis a chronic joint condition that often occurs in older individuals affects more than 30 million U.S. adults according to the Centers for Disease Control and Prevention. Tanezumab is also in phase 3 trials for two other kinds of common pain chronic low back and cancer pain.,,,,,
,,Several studies indicate women are far more likely to be judged on their performance in ways that don’t specifically clarify the level of performance or include focused explanations of what can be improved. Being told in a performance review that one is “aggressive” and being advised to be “less aggressive” is an example of how women’s performance reviews can exhibit patterns of bias vague feedback and nonactionable suggestions for improvement.,,,,,
,,In May the 18-year-old who trains and temporarily resides in Michigan petitioned to be deemed an “alien with extraordinary ability” under the immigration code. Gaining such status under the EB-1 visa would allow for Carreira to seek legal permanent residency status in a matter of months. The eventual goal is citizenship which would allow her to compete under the American flag in Olympic games her lawyers noted.,,,,,
,• At The Arora Report we address marijuana every day before the market opens in the Morning Capsule. From the Morning Capsule: “We have been sharing with you that marijuana stocks are high-beta stocks. In plain English this means that they move a lot. The momo (momentum) crowd is aggressively selling marijuana stocks. Overall smart money flows are negative but on down spikes there is light buying from smart money in select marijuana stocks.”,,,,,,
,,Those who have the responsibility for reviewing another person’s performance must choose their words carefully. There is a world of difference between being “aggressive” and being professionally assertive.,,,,,
,,Get a daily roundup of the top reads in personal finance delivered to your inbox. Subscribe to MarketWatch's free Personal Finance Daily newsletter. Sign up here.,,,,,
,,A self-certification waiver based on a misclassified account is most likely to be granted when there is evidence showing that you believed the account was qualified but in reality it was an unsuitable non-IRA account. Proof can be established in a couple of different ways: first via documents (e.g. an email stating that a person thought the funds were going to a qualified plan or IRA), and second behavior signifying they believed they had properly completed the rollover.,,,,
,,Let’s look at the definition of the word “aggressive.” Merriam-Webster dictionary defines it as “a forceful action or procedure (such as an unprovoked attack) especially when intended to dominate or master.” And further as “the practice of making attacks or encroachments.”,,,,,
,“When stocks fall staples get a sympathy bid and outperform due to that very same lower beta and their defensive qualities” Parets said. “With new highs in stocks bulls want to see new lows in relative strength for staples. That’s a normal environment. It’s when they diverge that it is evidence of something changing.”,,,,,,
,,The results suggest potential for a new alternative to addictive opioids an option that is lacking even many years into America’s devastating opioid-addiction crisis.,,,,,
,,I am in my 60s and I plan to work 10 more years. But I also want to find out what this man was thinking. The corporate bonds make up about 50% of this portfolio. He also put her in funds with a front-end load something I know my father would never have approved of kept her cash in low-paying money market funds and added unit investment trusts.,,,,,
,People don’t have to follow my path of service spirituality and social innovation. There are so many ways to use your time for happiness meaning purpose and contribution. At the end of the day we all want to have a well-lived life. Five houses and five cars and a private island — without a higher purpose — mean nothing.,,,,,,
,,"Chinese stocks felt some heat from forced selling in June after a tightening of monetary conditions. Overall the small-capitalization Shenzhen Composite Index 399106 -1.92% has declined by 34% from its late-January high while the Shanghai Composite Index SHCOMP -2.26%

     is down 27% from its January peak. Both benchmarks are in bear-market territory often defined as a drop of at least 20% from a recent peak.",,,,,
,,Also read:   Trump’s trade fights and a hard Brexit could take tariffs to levels not seen in 15 years.,,,,,
Breaking that late Tuesday trend was Teradyne Inc. TER -0.28% which makes testing equipment for electronics manufacturers. Shares rose after hours as both the company’s quarterly results and outlook exceeded Street expectations.,,,,,,,
,,The legal victory centers on the use of the company’s name or likeness purportedly to promote the foundation’s similarly named virtual currency according to Oct. 22 court documents in the U.S.’s Southern District of New York.,,,,,
“We saw these divergences lead to collapses in 2000 2007 and more recently a severe selloff in 2015” Parets wrote. “You can see that with new highs in the Dow this month transports put in a lower high typical behavior at market tops.”,,,,,,,
,,Even if Medicare for All made no changes to Medicare operations it still would have the problem of taking a program that functions well for about a sixth of the population and trying to make it work on a vastly larger scale the White House official said.,,,,,
,,Over any 10-year period they found that Halloween investor had a 90% chance of beating a buy-and-hold investor with far higher returns.,,,,,
,,Next came Bridgeport-Stamford-Norwalk Conn. where the average income from dividends and qualified dividends were $23800 and $19300 respectively.,,,,,
,,Also see:  America is house-rich but cash-poor — and these businesses see opportunity,,,,,
,,If you are seriously ill a waiver could be granted. For example if dementia directly affected the ability to complete a timely rollover a self-certified waiver is likely. In addition hospitalization may be a valid reason to extend the 60-day period through self-certification.,,,,,
Please click here for the updated chart showing money flows in marijuana stocks.,,,,,,,
