accept,accepting,accepted
add,adding,added
admire,admireing,admired
admit,admiting,admited
advise,adviseing,advised
afford,affording,afforded
agree,agreeing,agreed
alert,alerting,alerted
allow,allowing,allowed
amuse,amuseing,amused
analyze,analyzeing,analyzed
announce,announceing,announced
annoy,annoying,annoyed
answer,answering,answered
apologise,apologiseing,apologised
appear,appearing,appeared
applaud,applauding,applauded
appreciate,appreciateing,appreciated
approve,approveing,approved
argue,argueing,argued
arrange,arrangeing,arranged
arrest,arresting,arrested
arrive,arriveing,arrived
ask,asking,asked
attach,attaching,attached
attack,attacking,attacked
attempt,attempting,attempted
attend,attending,attended
attract,attracting,attracted
avoid,avoiding,avoided
back,backing,backed
bake,bakeing,baked
balance,balanceing,balanced
ban,baning,baned
bang,banging,banged
bare,bareing,bared
bat,bating,bated
bathe,batheing,bathed
battle,battleing,battled
beam,beaming,beamed
beg,beging,beged
behave,behaveing,behaved
belong,belonging,belonged
bleach,bleaching,bleached
bless,blessing,blessed
blind,blinding,blinded
blink,blinking,blinked
blot,bloting,bloted
blush,blushing,blushed
boast,boasting,boasted
boil,boiling,boiled
bolt,bolting,bolted
bomb,bombing,bombed
book,booking,booked
bore,boreing,bored
borrow,borrowing,borrowed
bounce,bounceing,bounced
bow,bowing,bowed
box,boxing,boxed
brake,brakeing,braked
branch,branching,branched
breathe,breatheing,breathed
bruise,bruiseing,bruised
brush,brushing,brushed
bubble,bubbleing,bubbled
bump,bumping,bumped
burn,burning,burned
bury,burying,buryed
buzz,buzzing,buzzed
calculate,calculateing,calculated
call,calling,called
camp,camping,camped
care,careing,cared
carry,carrying,carryed
carve,carveing,carved
cause,causeing,caused
challenge,challengeing,challenged
change,changeing,changed
charge,chargeing,charged
chase,chaseing,chased
cheat,cheating,cheated
check,checking,checked
cheer,cheering,cheered
chew,chewing,chewed
choke,chokeing,choked
chop,choping,choped
claim,claiming,claimed
clap,claping,claped
clean,cleaning,cleaned
clear,clearing,cleared
clip,cliping,cliped
close,closeing,closed
coach,coaching,coached
coil,coiling,coiled
collect,collecting,collected
colour,colouring,coloured
comb,combing,combed
command,commanding,commanded
communicate,communicateing,communicated
compare,compareing,compared
compete,competeing,competed
complain,complaining,complained
complete,completeing,completed
concentrate,concentrateing,concentrated
concern,concerning,concerned
confess,confessing,confessed
confuse,confuseing,confused
connect,connecting,connected
consider,considering,considered
consist,consisting,consisted
contain,containing,contained
continue,continueing,continued
copy,copying,copyed
correct,correcting,corrected
cough,coughing,coughed
count,counting,counted
cover,covering,covered
crack,cracking,cracked
crash,crashing,crashed
crawl,crawling,crawled
cross,crossing,crossed
crush,crushing,crushed
cry,crying,cryed
cure,cureing,cured
curl,curling,curled
curve,curveing,curved
cycle,cycleing,cycled
dam,daming,damed
damage,damageing,damaged
dance,danceing,danced
dare,dareing,dared
decay,decaying,decayed
deceive,deceiveing,deceived
decide,decideing,decided
decorate,decorateing,decorated
delay,delaying,delayed
delight,delighting,delighted
deliver,delivering,delivered
depend,depending,depended
describe,describeing,described
desert,deserting,deserted
deserve,deserveing,deserved
destroy,destroying,destroyed
detect,detecting,detected
develop,developing,developed
disagree,disagreeing,disagreed
disappear,disappearing,disappeared
disapprove,disapproveing,disapproved
disarm,disarming,disarmed
discover,discovering,discovered
dislike,dislikeing,disliked
divide,divideing,divided
double,doubleing,doubled
doubt,doubting,doubted
drag,draging,draged
drain,draining,drained
dream,dreaming,dreamed
dress,dressing,dressed
drip,driping,driped
drop,droping,droped
drown,drowning,drowned
drum,druming,drumed
dry,drying,dryed
dust,dusting,dusted
earn,earning,earned
educate,educateing,educated
embarrass,embarrassing,embarrassed
employ,employing,employed
empty,emptying,emptyed
encourage,encourageing,encouraged
end,ending,ended
enjoy,enjoying,enjoyed
enter,entering,entered
entertain,entertaining,entertained
escape,escapeing,escaped
examine,examineing,examined
excite,exciteing,excited
excuse,excuseing,excused
exercise,exerciseing,exercised
exist,existing,existed
expand,expanding,expanded
expect,expecting,expected
explain,explaining,explained
explode,explodeing,exploded
extend,extending,extended
face,faceing,faced
fade,fadeing,faded
fail,failing,failed
fancy,fancying,fancyed
fasten,fastening,fastened
fax,faxing,faxed
fear,fearing,feared
fence,fenceing,fenced
fetch,fetching,fetched
file,fileing,filed
fill,filling,filled
film,filming,filmed
fire,fireing,fired
fit,fiting,fited
fix,fixing,fixed
flap,flaping,flaped
flash,flashing,flashed
float,floating,floated
flood,flooding,flooded
flow,flowing,flowed
flower,flowering,flowered
fold,folding,folded
follow,following,followed
fool,fooling,fooled
force,forceing,forced
form,forming,formed
found,founding,founded
frame,frameing,framed
frighten,frightening,frightened
fry,frying,fryed
gather,gathering,gathered
gaze,gazeing,gazed
glow,glowing,glowed
glue,glueing,glued
grab,grabing,grabed
grate,grateing,grated
grease,greaseing,greased
greet,greeting,greeted
grin,grining,grined
grip,griping,griped
groan,groaning,groaned
guarantee,guaranteeing,guaranteed
guard,guarding,guarded
guess,guessing,guessed
guide,guideing,guided
hammer,hammering,hammered
hand,handing,handed
handle,handleing,handled
hang,hanging,hanged
happen,happening,happened
harass,harassing,harassed
harm,harming,harmed
hate,hateing,hated
haunt,haunting,haunted
head,heading,headed
heal,healing,healed
heap,heaping,heaped
heat,heating,heated
help,helping,helped
hook,hooking,hooked
hop,hoping,hoped
hope,hopeing,hoped
hover,hovering,hovered
hug,huging,huged
hum,huming,humed
hunt,hunting,hunted
hurry,hurrying,hurryed
identify,identifying,identifyed
ignore,ignoreing,ignored
imagine,imagineing,imagined
impress,impressing,impressed
improve,improveing,improved
include,includeing,included
increase,increaseing,increased
influence,influenceing,influenced
inform,informing,informed
inject,injecting,injected
injure,injureing,injured
instruct,instructing,instructed
intend,intending,intended
interest,interesting,interested
interfere,interfereing,interfered
interrupt,interrupting,interrupted
introduce,introduceing,introduced
invent,inventing,invented
invite,inviteing,invited
irritate,irritateing,irritated
itch,itching,itched
jail,jailing,jailed
jam,jaming,jamed
jog,joging,joged
join,joining,joined
joke,jokeing,joked
judge,judgeing,judged
juggle,juggleing,juggled
jump,jumping,jumped
kick,kicking,kicked
kill,killing,killed
kiss,kissing,kissed
kneel,kneeling,kneeled
knit,kniting,knited
knock,knocking,knocked
knot,knoting,knoted
label,labeling,labeled
land,landing,landed
last,lasting,lasted
laugh,laughing,laughed
launch,launching,launched
learn,learning,learned
level,leveling,leveled
license,licenseing,licensed
lick,licking,licked
lie,lieing,lied
lighten,lightening,lightened
like,likeing,liked
list,listing,listed
listen,listening,listened
live,liveing,lived
load,loading,loaded
lock,locking,locked
long,longing,longed
look,looking,looked
love,loveing,loved
man,maning,maned
manage,manageing,managed
march,marching,marched
mark,marking,marked
marry,marrying,marryed
match,matching,matched
mate,mateing,mated
matter,mattering,mattered
measure,measureing,measured
meddle,meddleing,meddled
melt,melting,melted
memorise,memoriseing,memorised
mend,mending,mended
mess,messing,messed
milk,milking,milked
mine,mineing,mined
miss,missing,missed
mix,mixing,mixed
moan,moaning,moaned
moor,mooring,moored
mourn,mourning,mourned
move,moveing,moved
muddle,muddleing,muddled
mug,muging,muged
multiply,multiplying,multiplyed
murder,murdering,murdered
nail,nailing,nailed
name,nameing,named
need,needing,needed
nest,nesting,nested
nod,noding,noded
note,noteing,noted
notice,noticeing,noticed
number,numbering,numbered
obey,obeying,obeyed
object,objecting,objected
observe,observeing,observed
obtain,obtaining,obtained
occur,occuring,occured
offend,offending,offended
offer,offering,offered
open,opening,opened
order,ordering,ordered
noverflow,noverflowing,noverflowed
owe,oweing,owed
own,owning,owned
pack,packing,packed
paddle,paddleing,paddled
paint,painting,painted
park,parking,parked
part,parting,parted
pass,passing,passed
paste,pasteing,pasted
pat,pating,pated
pause,pauseing,paused
peck,pecking,pecked
pedal,pedaling,pedaled
peel,peeling,peeled
peep,peeping,peeped
perform,performing,performed
permit,permiting,permited
phone,phoneing,phoned
pick,picking,picked
pinch,pinching,pinched
pine,pineing,pined
place,placeing,placed
plan,planing,planed
plant,planting,planted
play,playing,played
please,pleaseing,pleased
plug,pluging,pluged
point,pointing,pointed
poke,pokeing,poked
polish,polishing,polished
pop,poping,poped
possess,possessing,possessed
post,posting,posted
pour,pouring,poured
practise,practiseing,practised
pray,praying,prayed
preach,preaching,preached
precede,precedeing,preceded
prefer,prefering,prefered
prepare,prepareing,prepared
present,presenting,presented
preserve,preserveing,preserved
press,pressing,pressed
pretend,pretending,pretended
prevent,preventing,prevented
prick,pricking,pricked
print,printing,printed
produce,produceing,produced
program,programing,programed
promise,promiseing,promised
protect,protecting,protected
provide,provideing,provided
pull,pulling,pulled
pump,pumping,pumped
punch,punching,punched
puncture,punctureing,punctured
punish,punishing,punished
push,pushing,pushed
question,questioning,questioned
queue,queueing,queued
race,raceing,raced
radiate,radiateing,radiated
rain,raining,rained
raise,raiseing,raised
reach,reaching,reached
realise,realiseing,realised
receive,receiveing,received
recognise,recogniseing,recognised
record,recording,recorded
reduce,reduceing,reduced
reflect,reflecting,reflected
refuse,refuseing,refused
regret,regreting,regreted
reign,reigning,reigned
reject,rejecting,rejected
rejoice,rejoiceing,rejoiced
relax,relaxing,relaxed
release,releaseing,released
rely,relying,relyed
remain,remaining,remained
remember,remembering,remembered
remind,reminding,reminded
remove,removeing,removed
repair,repairing,repaired
repeat,repeating,repeated
replace,replaceing,replaced
reply,replying,replyed
report,reporting,reported
reproduce,reproduceing,reproduced
request,requesting,requested
rescue,rescueing,rescued
retire,retireing,retired
return,returning,returned
rhyme,rhymeing,rhymed
rinse,rinseing,rinsed
risk,risking,risked
rob,robing,robed
rock,rocking,rocked
roll,rolling,rolled
rot,roting,roted
rub,rubing,rubed
ruin,ruining,ruined
rule,ruleing,ruled
rush,rushing,rushed
sack,sacking,sacked
sail,sailing,sailed
satisfy,satisfying,satisfyed
save,saveing,saved
saw,sawing,sawed
scare,scareing,scared
scatter,scattering,scattered
scold,scolding,scolded
scorch,scorching,scorched
scrape,scrapeing,scraped
scratch,scratching,scratched
scream,screaming,screamed
screw,screwing,screwed
scribble,scribbleing,scribbled
scrub,scrubing,scrubed
seal,sealing,sealed
search,searching,searched
separate,separateing,separated
serve,serveing,served
settle,settleing,settled
shade,shadeing,shaded
share,shareing,shared
shave,shaveing,shaved
shelter,sheltering,sheltered
shiver,shivering,shivered
shock,shocking,shocked
shop,shoping,shoped
shrug,shruging,shruged
sigh,sighing,sighed
sign,signing,signed
signal,signaling,signaled
sin,sining,sined
sip,siping,siped
ski,skiing,skied
skip,skiping,skiped
slap,slaping,slaped
slip,sliping,sliped
slow,slowing,slowed
smash,smashing,smashed
smell,smelling,smelled
smile,smileing,smiled
smoke,smokeing,smoked
snatch,snatching,snatched
sneeze,sneezeing,sneezed
sniff,sniffing,sniffed
snore,snoreing,snored
snow,snowing,snowed
soak,soaking,soaked
soothe,sootheing,soothed
sound,sounding,sounded
spare,spareing,spared
spark,sparking,sparked
sparkle,sparkleing,sparkled
spell,spelling,spelled
spill,spilling,spilled
spoil,spoiling,spoiled
spot,spoting,spoted
spray,spraying,sprayed
sprout,sprouting,sprouted
squash,squashing,squashed
squeak,squeaking,squeaked
squeal,squealing,squealed
squeeze,squeezeing,squeezed
stain,staining,stained
stamp,stamping,stamped
stare,stareing,stared
start,starting,started
stay,staying,stayed
steer,steering,steered
step,steping,steped
stir,stiring,stired
stitch,stitching,stitched
stop,stoping,stoped
store,storeing,stored
strap,straping,straped
strengthen,strengthening,strengthened
stretch,stretching,stretched
strip,striping,striped
stroke,strokeing,stroked
stuff,stuffing,stuffed
subtract,subtracting,subtracted
succeed,succeeding,succeeded
suck,sucking,sucked
suffer,suffering,suffered
suggest,suggesting,suggested
suit,suiting,suited
supply,supplying,supplyed
support,supporting,supported
suppose,supposeing,supposed
surprise,surpriseing,surprised
surround,surrounding,surrounded
suspect,suspecting,suspected
suspend,suspending,suspended
switch,switching,switched
talk,talking,talked
tame,tameing,tamed
tap,taping,taped
taste,tasteing,tasted
tease,teaseing,teased
telephone,telephoneing,telephoned
tempt,tempting,tempted
terrify,terrifying,terrifyed
test,testing,tested
thank,thanking,thanked
thaw,thawing,thawed
tick,ticking,ticked
tickle,tickleing,tickled
tie,tieing,tied
time,timeing,timed
tip,tiping,tiped
tire,tireing,tired
touch,touching,touched
tour,touring,toured
tow,towing,towed
trace,traceing,traced
trade,tradeing,traded
train,training,trained
transport,transporting,transported
trap,traping,traped
travel,traveling,traveled
treat,treating,treated
tremble,trembleing,trembled
trick,tricking,tricked
trip,triping,triped
trot,troting,troted
trouble,troubleing,troubled
trust,trusting,trusted
try,trying,tryed
tug,tuging,tuged
tumble,tumbleing,tumbled
turn,turning,turned
twist,twisting,twisted
type,typeing,typed
undress,undressing,undressed
unfasten,unfastening,unfastened
unite,uniteing,united
unlock,unlocking,unlocked
unpack,unpacking,unpacked
untidy,untidying,untidyed
use,useing,used
vanish,vanishing,vanished
visit,visiting,visited
wail,wailing,wailed
wait,waiting,waited
walk,walking,walked
wander,wandering,wandered
want,wanting,wanted
warm,warming,warmed
warn,warning,warned
wash,washing,washed
waste,wasteing,wasted
watch,watching,watched
water,watering,watered
wave,waveing,waved
weigh,weighing,weighed
welcome,welcomeing,welcomed
whine,whineing,whined
whip,whiping,whiped
whirl,whirling,whirled
whisper,whispering,whispered
whistle,whistleing,whistled
wink,winking,winked
wipe,wipeing,wiped
wish,wishing,wished
wobble,wobbleing,wobbled
wonder,wondering,
work,working,
worry,worrying,
wrap,wraping,
wreck,wrecking,
wrestle,wrestleing,
wriggle,wriggleing,
x-ray,x-raying,
yawn,yawning,
yell,yelling,
zip,ziping,
zoom,zooming,
